City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Arlit,NE,18.7369,7.3853,68.23,14,53,9.06,broken clouds
80,Castro,BR,-24.7911,-50.0119,80.98,48,7,3.24,clear sky
81,Leningradskiy,RU,69.3833,178.4167,-32.44,97,17,5.64,few clouds
82,Elko,US,41.0002,-115.5012,33.82,95,100,10.0,snow
83,Jamestown,US,42.097,-79.2353,53.19,73,100,6.91,overcast clouds
84,Iqaluit,CA,63.7506,-68.5145,-15.07,76,20,2.3,few clouds
85,Cidreira,BR,-30.1811,-50.2056,77.9,68,0,9.84,clear sky
86,Yulara,AU,-25.2406,130.9889,84.33,33,96,10.45,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,71.19,78,65,3.0,broken clouds
88,Bonnyville,CA,54.2668,-110.735,4.8,98,100,1.99,overcast clouds
89,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,21.85,light rain
90,Broken Hill,AU,-31.95,141.4333,81.39,40,22,8.57,few clouds
91,Victoria,HK,22.2855,114.1577,62.26,69,53,11.01,broken clouds
92,Ribeira Grande,PT,38.5167,-28.7,54.0,62,20,17.27,light rain
93,Taoudenni,ML,22.6783,-3.9836,72.19,15,84,11.5,broken clouds
94,Santo Domingo,DO,18.5001,-69.9886,87.44,70,75,11.5,broken clouds
95,Nikolskoye,RU,59.7035,30.7861,37.29,98,100,10.38,overcast clouds
96,Lethem,GY,3.3803,-59.7968,89.49,50,65,9.13,broken clouds
97,Lebu,CL,-37.6167,-73.65,64.08,70,2,6.11,clear sky
98,Puerto Del Rosario,ES,28.5004,-13.8627,69.55,68,0,4.61,clear sky
99,San Cristobal,VE,7.7669,-72.225,75.38,40,14,3.65,few clouds
100,Mahebourg,MU,-20.4081,57.7,75.49,88,20,3.44,few clouds
101,Kirksville,US,40.1948,-92.5833,38.05,93,100,11.5,mist
102,Lorengau,PG,-2.0226,147.2712,80.47,81,73,6.71,broken clouds
103,Lehtmetsa,EE,59.3237,25.3457,42.62,93,100,13.6,overcast clouds
104,Plastun,RU,44.7561,136.2939,13.39,70,51,9.98,broken clouds
105,Carnarvon,AU,-24.8667,113.6333,71.31,74,0,22.1,clear sky
106,Avarua,CK,-21.2078,-159.775,78.85,89,75,3.44,broken clouds
107,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,85,75,5.75,light snow
108,Karakol,KG,42.4907,78.3936,22.17,89,100,2.91,light snow
109,Yarada,IN,17.65,83.2667,75.52,94,40,2.3,mist
110,Sambava,MG,-14.2667,50.1667,76.62,78,9,0.43,clear sky
111,Port Elizabeth,ZA,-33.918,25.5701,72.1,82,75,16.11,broken clouds
112,North Bend,US,43.4065,-124.2243,45.16,100,20,6.91,few clouds
113,Dikson,RU,73.5069,80.5464,-6.09,93,64,21.65,broken clouds
114,Ilulissat,GL,69.2167,-51.1,8.62,78,100,13.8,overcast clouds
115,Kawalu,ID,-7.3817,108.2082,73.29,90,100,2.64,overcast clouds
116,Bluff,NZ,-46.6,168.3333,49.23,83,21,9.26,few clouds
117,Henties Bay,NA,-22.116,14.2845,67.32,81,22,4.94,few clouds
118,Kaitangata,NZ,-46.2817,169.8464,54.72,76,90,7.18,overcast clouds
119,Saldanha,ZA,-33.0117,17.9442,86.05,82,11,15.08,few clouds
120,Codrington,AU,-38.2667,141.9667,59.02,94,7,3.65,clear sky
121,Russell,US,32.3502,-85.1999,65.19,94,100,5.75,light rain
122,Christchurch,NZ,-43.5333,172.6333,51.91,85,39,1.14,scattered clouds
123,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,84.27,77,91,1.12,overcast clouds
124,Rio Grande,BR,-32.035,-52.0986,98.71,42,0,11.48,clear sky
125,Khatanga,RU,71.9667,102.5,-2.79,85,99,21.7,overcast clouds
126,Isangel,VU,-19.55,169.2667,80.26,80,8,15.03,clear sky
127,Amapa,BR,1.0,-52.0,80.44,88,97,3.36,overcast clouds
128,Bethel,US,41.3712,-73.414,53.02,88,100,3.44,overcast clouds
129,Yellowknife,CA,62.456,-114.3525,7.32,85,100,10.36,light snow
130,Algarrobo,CO,10.1869,-74.5753,91.76,43,1,3.8,clear sky
131,Bubaque,GW,11.2833,-15.8333,80.94,62,86,13.29,overcast clouds
132,San Patricio,US,28.017,-97.5169,75.07,38,0,8.95,clear sky
133,Zhigalovo,RU,54.8097,105.1578,-28.53,100,51,0.89,broken clouds
134,Byron Bay,AU,-28.65,153.6167,64.94,83,51,5.66,broken clouds
135,Kodiak,US,57.79,-152.4072,38.71,93,100,17.27,light rain
136,Urdoma,RU,61.7533,48.5442,14.32,94,100,8.84,light snow
137,Hofn,IS,64.2539,-15.2082,23.11,85,85,8.21,overcast clouds
138,Vaitape,PF,-16.5167,-151.75,81.18,74,71,12.24,broken clouds
139,Soyo,AO,-6.1349,12.3689,79.34,83,86,7.58,overcast clouds
140,Lagoa,PT,39.05,-27.9833,52.5,63,83,25.14,light rain
141,Punta De Piedra,VE,7.6176,-71.4916,92.79,37,5,2.06,clear sky
142,Pevek,RU,69.7008,170.3133,-36.98,99,36,1.88,scattered clouds
143,Airai,TL,-8.9266,125.4092,60.08,92,100,4.38,overcast clouds
144,Rawson,AR,-43.3002,-65.1023,86.2,22,15,28.97,few clouds
145,Fertod,HU,47.6195,16.8868,51.12,84,60,11.83,broken clouds
146,Gornopravdinsk,RU,60.05,69.9,-27.0,100,35,2.62,scattered clouds
147,Anadyr,RU,64.75,177.4833,-33.12,97,79,7.65,broken clouds
148,Kununurra,AU,-15.7667,128.7333,76.98,100,100,8.05,overcast clouds
149,Kolyubakino,RU,55.668,36.5323,33.3,94,100,8.9,overcast clouds
150,Narva-Joesuu,EE,59.4589,28.0408,37.63,95,100,16.91,overcast clouds
151,Omsukchan,RU,62.5333,155.8,-25.55,95,97,1.97,overcast clouds
152,Faanui,PF,-16.4833,-151.75,81.14,74,69,12.19,broken clouds
153,Klaksvik,FO,62.2266,-6.589,31.12,53,84,11.97,broken clouds
154,Upernavik,GL,72.7868,-56.1549,-17.28,94,81,6.51,broken clouds
155,Souillac,MU,-20.5167,57.5167,75.58,88,20,3.44,few clouds
156,Lata,PT,40.1629,-8.3327,61.07,81,91,8.99,overcast clouds
157,Poum,NC,-20.2333,164.0167,79.48,80,43,11.86,scattered clouds
158,Letterkenny,IE,54.95,-7.7333,40.89,95,100,8.7,overcast clouds
159,Ostrovnoy,RU,68.0531,39.5131,12.07,90,46,21.25,scattered clouds
160,Conakry,GN,9.538,-13.6773,83.17,58,95,10.96,overcast clouds
161,Senanga,ZM,-16.1167,23.2667,68.63,86,92,5.68,light rain
162,Talara,PE,-4.5772,-81.2719,84.96,51,40,23.02,scattered clouds
163,Savalou,BJ,7.9281,1.9756,85.68,11,39,1.68,scattered clouds
164,Hovd,MN,48.0056,91.6419,-1.46,81,51,3.62,broken clouds
165,Tshikapa,CD,-6.4167,20.8,71.47,95,66,2.84,moderate rain
166,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,83,75,20.71,broken clouds
167,Samarai,PG,-10.6167,150.6667,80.49,81,100,8.3,overcast clouds
168,Sangar,RU,63.9242,127.4739,-34.94,96,100,3.67,overcast clouds
169,Namatanai,PG,-3.6667,152.4333,80.67,81,69,6.38,light rain
170,Bredasdorp,ZA,-34.5322,20.0403,66.96,73,1,13.98,clear sky
171,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,80.49,48,0,18.03,clear sky
172,Chokurdakh,RU,70.6333,147.9167,-28.07,97,93,10.07,overcast clouds
173,Havoysund,NO,70.9963,24.6622,30.43,79,100,21.65,overcast clouds
174,Pouebo,NC,-20.4,164.5667,76.73,87,60,6.4,broken clouds
175,Diego De Almagro,CL,-26.3667,-70.05,79.39,19,88,13.11,overcast clouds
176,Polewali,ID,-3.4324,119.3435,75.79,75,95,3.89,overcast clouds
177,Muros,ES,42.7762,-9.0603,56.68,96,100,22.03,overcast clouds
178,Saint George,US,37.1041,-113.5841,43.39,100,100,0.0,mist
179,Kottapalli,IN,18.4833,79.1,72.18,51,71,0.34,broken clouds
180,Lerwick,GB,60.1545,-1.1494,32.0,54,93,7.92,overcast clouds
181,Ekpoma,NG,6.7421,6.139,78.69,23,100,2.77,overcast clouds
182,Pokrovskoye,RU,47.4157,38.8971,39.18,88,8,6.08,clear sky
183,Port Blair,IN,11.6667,92.75,78.84,69,20,2.3,haze
184,Provideniya,RU,64.3833,-173.3,-3.6,83,59,13.69,broken clouds
185,Sulphur Springs,US,33.1385,-95.6011,64.54,63,0,13.8,clear sky
186,Polson,US,47.6936,-114.1632,35.49,94,100,4.45,overcast clouds
187,Kapaa,US,22.0752,-159.319,69.78,92,0,9.22,clear sky
188,Jiamusi,CN,46.8333,130.35,-5.93,92,14,7.07,few clouds
189,Guaruja,BR,-23.9931,-46.2564,78.84,78,75,5.99,broken clouds
190,Kovdor,RU,67.5662,30.4758,23.79,92,100,15.37,overcast clouds
191,Safaga,EG,26.7292,33.9365,65.48,53,90,13.2,overcast clouds
192,Cuamba,MZ,-14.8031,36.5372,68.9,96,92,4.34,light rain
193,Vilhena,BR,-12.7406,-60.1458,75.42,94,75,3.44,moderate rain
194,Hami,CN,42.8,93.45,18.63,55,17,2.1,few clouds
195,Jalu,LY,29.0331,21.5482,59.02,62,15,7.31,few clouds
196,Mildura,AU,-34.2,142.15,81.59,38,58,7.76,broken clouds
197,Pacific Grove,US,36.6177,-121.9166,59.41,92,100,25.99,moderate rain
198,Kabompo,ZM,-13.5927,24.2008,63.79,98,89,5.39,overcast clouds
199,Puerto Penasco,MX,31.3167,-113.5333,63.77,74,7,11.05,clear sky
200,Puerto Carreno,CO,6.189,-67.4859,91.38,52,20,9.22,few clouds
201,Oranjemund,NA,-28.55,16.4333,69.71,62,0,11.16,clear sky
202,Hasaki,JP,35.7333,140.8333,27.0,65,4,7.92,clear sky
203,Bassano,CA,50.7834,-112.4685,23.49,86,92,6.33,overcast clouds
204,Buala,SB,-8.145,159.5921,78.62,82,99,2.75,overcast clouds
205,Presidente Dutra,BR,-5.29,-44.49,84.99,69,48,3.18,scattered clouds
206,Lokoja,NG,7.8024,6.743,83.48,17,98,3.91,overcast clouds
207,Carballo,ES,43.213,-8.691,55.87,91,100,13.11,overcast clouds
208,La Palma,US,33.8464,-118.0467,60.85,97,100,5.75,light intensity drizzle
209,Cocorit,MX,27.5833,-109.9667,66.54,35,0,2.82,clear sky
210,Fukue,JP,32.6881,128.8419,49.08,62,11,18.32,few clouds
211,Vorukh,TJ,39.8494,70.5838,24.73,73,99,6.08,overcast clouds
212,Paamiut,GL,61.994,-49.6678,5.25,62,52,7.27,broken clouds
213,Dingle,PH,10.9995,122.6711,74.86,93,99,6.89,overcast clouds
214,Beidao,CN,34.5686,105.8933,32.32,48,100,3.04,overcast clouds
215,Raga,SS,8.4596,25.678,77.02,28,22,5.1,few clouds
216,Puyang,CN,29.4603,119.8861,39.31,75,7,2.51,clear sky
217,Dunedin,NZ,-45.8742,170.5036,54.1,85,100,7.94,overcast clouds
218,Zhangye,CN,38.9342,100.4517,19.49,42,100,4.09,overcast clouds
219,Kattivakkam,IN,13.2167,80.3167,77.09,75,21,4.94,few clouds
220,Kiunga,PG,-6.1219,141.2906,73.13,99,100,2.73,overcast clouds
221,Ancud,CL,-41.8697,-73.8203,60.31,69,80,12.33,broken clouds
222,Cabo San Lucas,MX,22.8909,-109.9124,75.51,62,0,1.01,clear sky
223,San Policarpo,PH,12.1791,125.5072,79.66,85,100,9.51,overcast clouds
224,Constitucion,CL,-35.3333,-72.4167,64.76,73,89,12.75,overcast clouds
225,Itoman,JP,26.1247,127.6694,60.82,63,20,12.66,few clouds
226,Ellensburg,US,46.9965,-120.5479,40.01,80,100,0.0,haze
227,Severo-Kurilsk,RU,50.6789,156.125,25.07,74,64,5.14,broken clouds
228,Kavieng,PG,-2.5744,150.7967,81.07,79,38,5.79,scattered clouds
229,Dovbysh,UA,50.3733,27.9874,43.66,83,100,12.5,overcast clouds
230,Axim,GH,4.8699,-2.2405,81.48,74,10,8.9,clear sky
231,Teeli,RU,51.0333,90.2333,-8.7,91,73,1.66,broken clouds
232,Ofaqim,IL,31.3141,34.6203,57.7,63,0,2.75,clear sky
233,Qaanaaq,GL,77.484,-69.3632,-18.04,63,19,8.81,few clouds
234,Luzhou,CN,28.8724,105.4405,47.53,87,100,1.12,overcast clouds
235,Ola,RU,59.5833,151.2833,-1.57,93,100,9.48,overcast clouds
236,Beringovskiy,RU,63.05,179.3167,-13.38,90,100,16.17,overcast clouds
237,Korla,CN,41.7597,86.1469,21.27,53,100,0.56,overcast clouds
238,Namibe,AO,-15.1961,12.1522,73.78,80,54,3.4,broken clouds
239,Guerrero Negro,MX,27.9769,-114.0611,65.34,71,15,5.66,few clouds
240,Bowen,AU,-20.0167,148.2333,77.02,87,50,10.89,scattered clouds
241,Terrace,CA,54.5163,-128.6035,26.51,93,75,2.3,broken clouds
242,Sao Filipe,CV,14.8961,-24.4956,71.89,68,1,6.4,clear sky
243,Nan,TH,18.8333,100.6667,60.71,75,25,0.76,scattered clouds
244,San Andres,CO,12.5847,-81.7006,84.22,74,20,13.8,light rain
245,Salalah,OM,17.0151,54.0924,78.89,44,0,4.61,clear sky
246,Straumen,NO,63.8709,11.2999,35.6,66,100,19.73,light rain
247,Lembeni,TZ,-3.7833,37.6167,71.22,55,100,7.78,overcast clouds
248,Uyuni,BO,-20.4597,-66.825,64.8,29,84,9.24,broken clouds
249,Inhambane,MZ,-23.865,35.3833,78.78,89,40,6.91,scattered clouds
250,Narsaq,GL,60.9167,-46.05,-0.18,63,13,7.56,few clouds
251,Constantine,DZ,36.365,6.6147,53.01,54,0,2.3,clear sky
252,Mwinilunga,ZM,-11.7358,24.4293,61.32,98,100,3.38,overcast clouds
253,Juba,SS,4.8517,31.5825,86.29,25,99,3.78,overcast clouds
254,Clarence Town,AU,-32.5833,151.7833,70.81,98,7,1.97,clear sky
255,Maridi,SS,4.9158,29.4742,80.01,30,93,2.75,overcast clouds
256,Fortuna,US,40.5982,-124.1573,52.93,98,100,1.99,overcast clouds
257,Clearwater,US,27.9659,-82.8001,74.98,87,100,14.97,overcast clouds
258,Avera,US,33.194,-82.5271,63.37,90,100,6.49,overcast clouds
259,Alta Floresta,BR,-9.8756,-56.0861,78.96,78,100,0.81,overcast clouds
260,Bambous Virieux,MU,-20.3428,57.7575,75.45,88,20,3.44,few clouds
261,Mangrol,IN,21.1167,70.1167,67.6,37,4,12.01,clear sky
262,Grand Gaube,MU,-20.0064,57.6608,75.6,79,54,3.38,broken clouds
263,Siniscola,IT,40.5719,9.6922,56.75,84,9,1.79,clear sky
264,Sydney,AU,-33.8679,151.2073,68.38,89,75,5.75,broken clouds
265,Nautla,MX,20.2167,-96.7833,76.95,70,96,7.74,overcast clouds
266,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,82,74,11.97,broken clouds
267,Beira,MZ,-19.8436,34.8389,82.49,69,40,5.75,light rain
268,Bielsko-Biala,PL,49.8224,19.0469,53.28,83,96,10.6,overcast clouds
269,Can,TR,40.0333,27.0524,48.22,85,33,2.26,scattered clouds
270,Bulaevo,KZ,54.9056,70.4439,3.0,96,100,9.95,overcast clouds
271,Zhicheng,CN,30.2956,111.5047,46.17,40,99,1.79,overcast clouds
272,Rocha,UY,-34.4833,-54.3333,79.65,41,0,14.85,clear sky
273,Caconda,AO,-13.7333,15.0667,60.69,94,100,4.25,light rain
274,Solnechnyy,RU,50.7214,136.6319,-2.24,98,100,2.37,overcast clouds
275,Temyasovo,RU,52.9933,58.1014,-2.65,100,97,4.59,overcast clouds
276,Hoquiam,US,46.9809,-123.8893,46.99,96,90,2.84,overcast clouds
277,Acari,PE,-15.4311,-74.6158,80.56,60,98,10.96,overcast clouds
278,Pervomayskiy,RU,53.2485,40.2871,33.17,99,100,9.86,overcast clouds
279,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,99.0,32,70,8.12,broken clouds
280,Verkhoyansk,RU,67.5447,133.385,-23.55,99,100,2.82,overcast clouds
281,Yinchuan,CN,38.4681,106.2731,22.03,25,94,2.62,overcast clouds
282,Miguel Alves,BR,-4.1656,-42.8953,91.2,47,78,2.39,broken clouds
283,Dudinka,RU,69.4058,86.1778,-27.85,97,55,3.15,broken clouds
284,Batagay,RU,67.6333,134.6333,-26.5,96,100,4.27,overcast clouds
285,Poronaysk,RU,49.2167,143.1167,9.5,94,100,4.94,overcast clouds
286,Lujan,AR,-34.5703,-59.105,92.12,31,0,4.0,clear sky
287,Kavali,IN,14.9167,79.9833,73.89,81,6,7.9,clear sky
288,Mecca,SA,21.4267,39.8261,71.83,72,38,3.58,scattered clouds
289,Biskamzha,RU,53.4497,89.5272,10.42,98,100,1.88,overcast clouds
290,General Roca,AR,-39.0333,-67.5833,98.62,10,65,18.14,broken clouds
291,Tumut,AU,-35.3,148.2167,61.92,85,21,4.29,few clouds
292,Nanakuli,US,21.3906,-158.1547,72.03,83,0,4.61,clear sky
293,Abong Mbang,CM,3.9833,13.1833,76.44,30,26,1.01,scattered clouds
294,Orshanka,RU,56.9161,47.8933,22.03,96,100,6.38,light snow
295,Talnakh,RU,69.4865,88.3972,-20.7,81,74,5.93,broken clouds
296,Ulaangom,MN,49.9811,92.0667,-12.28,97,90,2.17,overcast clouds
297,Jumla,NP,29.2747,82.1838,32.72,78,11,3.33,few clouds
298,Lompoc,US,34.6391,-120.4579,59.77,97,100,10.36,overcast clouds
299,Bardiyah,LY,31.7561,25.0865,62.01,68,99,12.21,overcast clouds
300,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,84,20,14.97,few clouds
301,Siavonga,ZM,-16.5382,28.7088,71.47,86,97,4.12,light rain
302,Barcelos,PT,41.5388,-8.6151,62.74,91,100,13.96,overcast clouds
303,Astana,KZ,51.1801,71.446,12.15,85,100,15.66,overcast clouds
304,Nanortalik,GL,60.1432,-45.2371,10.58,75,7,5.19,clear sky
305,Sawakin,SD,19.1059,37.3321,75.49,78,99,13.49,overcast clouds
306,Dewa,IN,27.0333,81.1667,55.4,51,1,5.19,clear sky
307,Road Town,VG,18.4167,-64.6167,84.29,69,40,9.22,scattered clouds
308,Polis,CY,35.0367,32.4264,57.02,64,1,9.42,clear sky
