City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
266,Sao Joao Da Barra,BR,84.29,broken clouds,-21.6403,-41.0511,Pousada Mediterrâneo
267,Beira,MZ,82.49,light rain,-19.8436,34.8389,Hotel Savoy
272,Rocha,UY,79.65,clear sky,-34.4833,-54.3333,Hotel Municipal
287,Kavali,IN,73.89,clear sky,14.9167,79.9833,Hotel Namaskar
288,Mecca,SA,71.83,scattered clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
301,Siavonga,ZM,71.47,light rain,-16.5382,28.7088,Lake Safari Lodge Annex
305,Sawakin,SD,75.49,overcast clouds,19.1059,37.3321,Hotel Halfa
324,Nouadhibou,MR,80.58,scattered clouds,20.931,-17.0347,Hotel valencia
325,Wewak,PG,78.78,light rain,-3.5534,143.6268,Village Inn
327,Tual,ID,83.97,overcast clouds,-5.6667,132.75,Suita
328,Agadir,MA,77.45,overcast clouds,30.4202,-9.5982,Atlantic
334,Miragoane,HT,79.18,clear sky,18.4423,-73.0876,Chez Dem
336,Porto Novo,BJ,85.82,overcast clouds,6.4965,2.6036,Hôtel 6500 CFA
339,Mar Del Plata,AR,73.83,clear sky,-38.0023,-57.5575,Nuevo Ostende
340,Chuy,UY,79.41,clear sky,-33.6971,-53.4616,Alerces
352,Kalmunai,LK,74.95,overcast clouds,7.4167,81.8167,Saji new food
353,Nouakchott,MR,87.73,clear sky,18.0858,-15.9785,فندق أدرار
357,Morondava,MG,80.87,few clouds,-20.2833,44.2833,Hotel Sharon Menabe
363,Puerto Baquerizo Moreno,EC,77.99,broken clouds,-0.9,-89.6,Dory's House
367,Takoradi,GH,81.09,few clouds,4.8845,-1.7554,Hillcrest
368,Makakilo City,US,70.61,clear sky,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
376,Emerald,AU,70.34,clear sky,-23.5333,148.1667,Emerald Central Hotel
377,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Fidji Motel
378,Marsh Harbour,BS,77.43,few clouds,26.5412,-77.0636,Lofty Fig Villas
379,Malpe,IN,79.9,scattered clouds,13.35,74.7167,Hotel Kart
380,Am Timan,TD,79.05,overcast clouds,11.0297,20.2827,Nimla
386,Venice,US,83.26,haze,27.0998,-82.4543,El Patio
387,Elmina,GH,80.83,broken clouds,5.0898,-1.348,Coconut Grove Bridge House
401,Necochea,AR,72.27,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
406,Pangai,TO,80.38,overcast clouds,-19.8,-174.35,Billy's Place
408,Kyaikkami,MM,74.25,few clouds,16.08,97.5675,ရှုခင်းသာ
410,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Tropic Hotel
411,Opuwo,,81.9,broken clouds,-18.0607,13.84,Ohakane Lodge
414,Aransas Pass,US,75.22,clear sky,27.9095,-97.15,Executive Inn & Suites
415,Leander,US,72.18,clear sky,30.5788,-97.8531,Holiday Inn Express
427,Maragogi,BR,83.07,broken clouds,-9.0122,-35.2225,Pousada Mariluz
430,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Central Hôtel
433,Playas,EC,78.49,overcast clouds,-2.6333,-80.3833,Hotel las Redes
444,Victoria Point,AU,71.15,few clouds,-27.5833,153.3,Seminara Appartments
447,Meulaboh,ID,75.42,overcast clouds,4.1363,96.1285,Hotel Meuligou
459,Laranjeiras Do Sul,BR,79.56,scattered clouds,-25.4078,-52.4161,Sandro Hotel
463,Touros,BR,84.69,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
467,Salta,AR,85.57,scattered clouds,-24.7859,-65.4117,Ayres de Salta Hotel
471,Cap Malheureux,MU,74.46,scattered clouds,-19.9842,57.6142,Cape Garden
480,Bairiki,KI,80.6,light rain,1.3292,172.9752,Marry's Motel
481,Daru,PG,76.39,light rain,-9.0763,143.2092,Kuki
483,Korhogo,CI,84.27,scattered clouds,9.45,-5.6333,Hotel Non Stop
486,Paita,PE,72.41,overcast clouds,-5.0892,-81.1144,Victor's
488,Mamallapuram,IN,77.05,few clouds,12.6264,80.1722,Radisson Temple Bay
494,Tuban,ID,76.89,overcast clouds,-6.8976,112.0649,Hotel Saras
497,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
506,Manga,BF,77.85,broken clouds,11.6636,-1.0731,Résidence hôtelière la Grace
508,Pisco,PE,70.02,scattered clouds,-13.7,-76.2167,La Portada
510,Benguela,AO,78.57,scattered clouds,-12.5763,13.4055,Hotel Moibela
511,Paka,MY,75.13,overcast clouds,4.6374,103.4368,Paka Inn
515,Waspan,NI,81.19,broken clouds,14.7419,-83.9717,Hospedaje Vanessa
518,Ouro Preto,BR,72.66,broken clouds,-20.3948,-43.5052,Hotel Nossa Senhora Aparecida
519,Iona,US,84.25,scattered clouds,26.5204,-81.964,La Quinta Inn & Suites Ft. Myers - Sanibel Gateway
525,Quatre Cocos,MU,75.31,broken clouds,-20.2078,57.7625,Horisun
530,Jember,ID,73.89,overcast clouds,-8.166,113.7032,Hotel Asri
532,Impfondo,CG,83.16,overcast clouds,1.6381,18.0667,Tropicana
534,Soc Trang,VN,72.37,overcast clouds,9.6033,105.98,Khách sạn Khánh Hưng
553,Honiara,SB,77.86,overcast clouds,-9.4333,159.95,King Solomon Hotel
554,Oranjestad,AW,82.9,broken clouds,12.524,-70.027,Hotel California
557,Tres Picos,MX,88.52,overcast clouds,15.8667,-93.5333,Hotel Tres Picos
563,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Hotel Prainha
568,Santa Cruz De Tenerife,ES,74.28,scattered clouds,28.4682,-16.2546,Hotel Príncipe Paz
573,Mananara,MG,74.98,clear sky,-16.1667,49.7667,Chez Roger
580,Aden,YE,77.63,broken clouds,12.7794,45.0367,فندق قصر الجزيرة
581,Sosua,DO,83.23,scattered clouds,19.7667,-70.5167,Casa Marina Beach & Reef
588,La Libertad,EC,78.46,scattered clouds,-2.2333,-80.9,Hotel Mar Caribe
590,Grajau,BR,85.15,few clouds,-5.8194,-46.1386,Torre Palace Hotel
593,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue
594,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,The Adventures Inn
599,Gilbues,BR,84.02,scattered clouds,-9.8317,-45.3439,Hotel Camapua
601,Sokoto,NG,71.82,scattered clouds,13.0609,5.239,Pinnade hotel
603,Pedregulho,BR,75.2,broken clouds,-20.2569,-47.4767,Hotel Pedregulho
610,Teacapan,MX,77.65,clear sky,22.55,-105.75,illas y Hotel Maria Fernanda
616,Lamu,KE,79.09,scattered clouds,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
625,Sao Felix Do Xingu,BR,85.39,broken clouds,-6.6447,-51.995,Hotel Terraço
627,Navrongo,GH,79.88,overcast clouds,10.8956,-1.0921,Mayaga
629,Bintulu,MY,75.61,scattered clouds,3.1667,113.0333,Bakun Inn
638,Semporna,MY,77.79,overcast clouds,4.4818,118.6112,Sipadan Inn II
641,Nueva Loja,EC,73.42,overcast clouds,0.0847,-76.8828,Castillo Real
646,Cozumel,MX,83.07,light rain,20.5083,-86.9458,Hotel Isla Esmeralda
648,Fare,PF,81.0,light rain,-16.7,-151.0167,hôtel Maitai Lapita Village
657,Ambovombe,MG,74.8,broken clouds,-25.1667,46.0833,La source
664,Matara,LK,73.71,broken clouds,5.9485,80.5353,Villa Palm Breeze
675,Bosaso,SO,74.88,light rain,11.2842,49.1816,Bosaso hotel
677,Chulumani,BO,75.02,overcast clouds,-16.4096,-67.5263,Hotel Panorama
